3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020
0,1,0,0,0,2,3,0,6,2,8,0,14,6,17,10,16,17,12,5,14,10,14,14,14,6,22,13,9,11,11,15
0,1,5,6,16,8,10,22,13,43,14,29,48,68,223,81,109,110,53,122,96,156,199,148,216,172,151,250,400,199,223,334
6,3,3,4,6,0,11,13,50,22,47,9,44,62,55,46,23,22,47,50,61,59,61,39,87,45,71,54,119,52,55,54
0,0,3,0,6,2,8,16,21,39,48,113,92,93,127,159,137,46,238,132,124,185,171,250,250,187,119,151,292,94,281,146
45,0,50,41,42,148,128,313,139,216,257,197,369,253,651,873,764,1065,739,1035,673,1036,1510,1325,1412,898,1529,1092,1352,1163,0,2322
17,27,29,30,0,29,23,33,61,86,112,116,129,192,174,344,304,327,566,0,339,376,386,445,392,385,222,257,226,855,0,383
3,0,5,9,6,15,27,28,98,0,29,192,203,257,137,279,0,702,578,557,429,267,1090,362,399,1231,875,0,2003,754,972,525
3,0,2,0,2,8,9,5,8,7,11,12,23,24,15,33,51,18,32,55,49,25,57,143,80,0,255,0,279,119,153,0
4,18,27,39,25,45,128,76,130,138,172,341,241,270,673,410,998,483,1227,865,617,1055,1575,1526,1040,1173,1423,708,909,1167,963,861
9,11,24,33,22,25,51,90,133,87,93,172,254,221,278,476,365,285,158,1120,709,710,483,329,487,667,1504,1083,665,917,676,293
0,0,0,0,5,3,4,2,10,11,11,8,21,13,5,11,14,31,24,29,4,50,27,34,32,20,16,23,25,7,23,21
1,2,1,1,4,1,6,9,7,23,22,15,19,21,34,56,63,38,88,73,52,65,85,87,82,78,102,97,125,118,122,77
0,0,2,3,0,2,2,2,12,8,11,5,3,23,50,66,41,31,49,105,110,144,222,122,64,24,69,40,22,121,43,11
6,7,14,18,29,66,129,134,163,168,296,224,262,330,673,488,465,1105,461,937,986,715,1209,1453,899,1006,1287,1529,1344,1465,1293,1672
2,0,3,4,5,6,9,17,23,47,75,58,106,112,168,336,251,282,272,373,406,474,398,516,458,533,563,436,408,556,528,493
3,2,0,2,3,4,1,18,10,11,9,18,16,28,42,34,59,58,49,60,54,70,68,78,49,98,55,0,206,60,102,69
0,3,3,2,5,1,4,9,12,7,45,5,20,33,41,50,54,92,45,41,111,89,90,61,86,38,53,141,197,347,0,147
8,22,33,22,23,57,69,107,132,106,252,335,216,407,510,441,569,225,485,1212,1187,2726,1147,2199,514,1857,1417,746,1253,970,761,581
3,28,15,0,26,54,38,72,85,112,121,131,382,679,579,823,1017,698,797,868,1118,1228,1436,1334,764,1337,1365,1588,2151,2033,1886,2615
